dose,hf,ic50anox,vdt,ER2,SGD2
0,17.79,81,7.16,1,0
0,17.79,81,7.16,1,0
0,17.79,81,7.16,1,0
0,17.79,81,7.16,1,0
0,17.79,81,7.16,1,0
0,17.79,81,7.16,1,0
0,17.79,81,7.16,1,0
0,17.79,81,7.16,1,0
90,17.79,81,7.16,1.39,0.71
97.2,17.79,81,7.16,1.08,0.14
100.8,17.79,81,7.16,2.09,1.98
106,17.79,81,7.16,1.44,0.8
102,17.79,81,7.16,0.92,-0.14
109.6,17.79,81,7.16,1.94,1.71
102,17.79,81,7.16,1.25,0.45
92.4,17.79,81,7.16,2.21,2.21
0,16.89,81,8.99,1,0
0,16.89,64,8.99,1,0
0,16.89,64,8.99,1,0
0,16.89,64,8.99,1,0
0,16.89,64,8.99,1,0
0,16.89,64,8.99,1,0
0,16.89,64,8.99,1,0
95.2,16.89,64,8.99,1.68,1.54
107.2,16.89,64,8.99,2,2.26
106,16.89,64,8.99,1.47,1.06
104.8,16.89,64,8.99,2.22,2.76
105.6,16.89,64,8.99,1.92,2.09
100.8,16.89,64,8.99,1.31,0.7
110.4,16.89,64,8.99,0.94,-0.15
0,5.91,202,13.5,1,0
0,5.91,202,13.5,1,0
0,5.91,202,13.5,1,0
0,5.91,202,13.5,1,0
0,5.91,202,13.5,1,0
108.8,5.91,202,13.5,2.86,3.48
123.6,5.91,202,13.5,1.86,1.61
109.2,5.91,202,13.5,2.13,2.12
107.6,5.91,202,13.5,2.37,2.57
105.6,5.91,202,13.5,3,3.74
110.4,5.91,202,13.5,1.88,1.64
0,18.33,220,9.58,1,0
0,18.33,220,9.58,1,0
0,18.33,220,9.58,1,0
124,18.33,220,9.58,0.8,-0.39
133.2,18.33,220,9.58,1.27,0.52
125.2,18.33,220,9.58,1.21,0.41
119.2,18.33,220,9.58,2.99,3.92
0,11.83,196,7.17,1,0
0,11.83,196,7.17,1,0
0,11.83,196,7.17,1,0
0,11.83,196,7.17,1,0
99.2,11.83,196,7.17,2.97,3.45
98.8,11.83,196,7.17,1.39,0.68
